target_id	tercile	pdb	ligands	center_x	center_y	center_z	n_mol2s
B2RXC2	bottom	2AQX_B.pdb	CHEMBL3715382_b.mol2,CHEMBL3715397_b.mol2,CHEMBL3716790_b.mol2,CHEMBL3717140_b.mol2,CHEMBL3717339_b.mol2,CHEMBL3717458_b.mol2,CHEMBL3717521_b.mol2,CHEMBL3717720_b.mol2,CHEMBL3718305_b.mol2,CHEMBL3718396_b.mol2	-3.77	-3.62	-8.01	10
O00429	bottom	3W6P_B.pdb	CHEMBL4456467_b.mol2,CHEMBL4457337_b.mol2,CHEMBL4466723_b.mol2,CHEMBL4467972_b.mol2,CHEMBL4468535_b.mol2,CHEMBL4472354_b.mol2,CHEMBL4483748_b.mol2,CHEMBL4527387_b.mol2,CHEMBL4573824_b.mol2	32.46	-4.31	-30.06	9
O09114	top	2KTD_A.pdb	CHEMBL13078_b.mol2,CHEMBL13288_b.mol2,CHEMBL13319_b.mol2,CHEMBL13376_b.mol2,CHEMBL1907835_b.mol2,CHEMBL2092862_b.mol2,CHEMBL273606_b.mol2,CHEMBL273700_b.mol2,CHEMBL274572_b.mol2,CHEMBL274833_b.mol2	3.06	-4.64	7.65	10
O14672	top	8ESV_A.pdb	CHEMBL1077203_b.mol2,CHEMBL19611_b.mol2,CHEMBL251820_b.mol2,CHEMBL373853_b.mol2,CHEMBL3935135_b.mol2,CHEMBL4167357_b.mol2,CHEMBL442443_b.mol2,CHEMBL489100_b.mol2,CHEMBL496829_b.mol2,CHEMBL566233_b.mol2	-0.94	5.19	-15.65	10
O14939	top	6OHP_D.pdb	CHEMBL1213068_b.mol2,CHEMBL1213141_b.mol2,CHEMBL1253820_b.mol2,CHEMBL1254577_b.mol2,CHEMBL246240_b.mol2,CHEMBL3983405_b.mol2,CHEMBL4515874_b.mol2,CHEMBL471258_b.mol2,CHEMBL493521_b.mol2,CHEMBL5074314_b.mol2	-5.5	-10.07	4.38	10
O14980	bottom	6TVO_A.pdb	CHEMBL1084286_b.mol2,CHEMBL3890257_b.mol2,CHEMBL3898452_b.mol2,CHEMBL3910886_b.mol2,CHEMBL3919410_b.mol2,CHEMBL3926680_b.mol2,CHEMBL3931058_b.mol2,CHEMBL3939294_b.mol2,CHEMBL3956187_b.mol2,CHEMBL3986064_b.mol2	13.33	-5.06	-18.46	10
O15229	bottom	5X68_B.pdb	CHEMBL134915_b.mol2,CHEMBL3407879_b.mol2,CHEMBL3407893_b.mol2,CHEMBL3407912_b.mol2,CHEMBL3407930_b.mol2,CHEMBL3931378_b.mol2,CHEMBL3949609_b.mol2,CHEMBL3977350_b.mol2,CHEMBL4075997_b.mol2,CHEMBL4100173_b.mol2	-4.68	-4.0	1.75	10
O15244	top	8ET9_A.pdb	CHEMBL1106_b.mol2,CHEMBL11_b.mol2,CHEMBL1502_b.mol2,CHEMBL2074659_b.mol2,CHEMBL2074900_b.mol2,CHEMBL289469_b.mol2,CHEMBL364713_b.mol2,CHEMBL4100146_b.mol2,CHEMBL517_b.mol2,CHEMBL691_b.mol2	-1.47	0.15	4.55	10
O15245	top	8SC6_A.pdb	CHEMBL103_b.mol2,CHEMBL1160763_b.mol2,CHEMBL11_b.mol2,CHEMBL1272_b.mol2,CHEMBL135_b.mol2,CHEMBL253592_b.mol2,CHEMBL33845_b.mol2,CHEMBL4100146_b.mol2,CHEMBL43_b.mol2,CHEMBL562_b.mol2	-2.24	2.79	5.51	10
O15554	bottom	6CNM_D.pdb	CHEMBL104_b.mol2,CHEMBL2312926_b.mol2,CHEMBL259899_b.mol2,CHEMBL270288_b.mol2,CHEMBL272040_b.mol2,CHEMBL3287206_b.mol2,CHEMBL3287209_b.mol2,CHEMBL3287212_b.mol2,CHEMBL4743839_b.mol2,CHEMBL4756080_b.mol2	29.63	10.83	-4.56	10
O35956	top	8SDY_A.pdb	CHEMBL1072_b.mol2,CHEMBL154_b.mol2,CHEMBL2074714_b.mol2,CHEMBL2075007_b.mol2,CHEMBL2075010_b.mol2,CHEMBL35_b.mol2,CHEMBL472_b.mol2,CHEMBL521_b.mol2,CHEMBL571_b.mol2,CHEMBL6_b.mol2	-8.9	4.65	-0.56	10
O60603	mid	6NIG_C.pdb	CHEMBL111077_b.mol2,CHEMBL4443960_b.mol2,CHEMBL4464681_b.mol2,CHEMBL5086432_b.mol2,CHEMBL5094868_b.mol2,CHEMBL5179162_b.mol2,CHEMBL5186879_b.mol2,CHEMBL5188622_b.mol2,CHEMBL5190591_b.mol2,CHEMBL5202240_b.mol2	14.73	10.89	22.88	10
O69002	top	1SK7_A.pdb	CHEMBL104315_b.mol2,CHEMBL105616_b.mol2,CHEMBL2346944_b.mol2,CHEMBL2346953_b.mol2,CHEMBL3920262_b.mol2,CHEMBL3955732_b.mol2,CHEMBL4204511_b.mol2,CHEMBL4206766_b.mol2,CHEMBL4208843_b.mol2,CHEMBL4213232_b.mol2	-2.52	8.2	-3.95	10
O75751	top	7ZHA_A.pdb	CHEMBL103_b.mol2,CHEMBL107_b.mol2,CHEMBL110739_b.mol2,CHEMBL1160763_b.mol2,CHEMBL1197556_b.mol2,CHEMBL135_b.mol2,CHEMBL13823_b.mol2,CHEMBL1873475_b.mol2,CHEMBL2074647_b.mol2,CHEMBL2074851_b.mol2	1.15	4.28	2.63	10
O95822	bottom	4F0X_E.pdb	CHEMBL1257318_b.mol2,CHEMBL1258479_b.mol2,CHEMBL201846_b.mol2,CHEMBL202688_b.mol2,CHEMBL205506_b.mol2,CHEMBL210190_b.mol2,CHEMBL245823_b.mol2,CHEMBL252977_b.mol2,CHEMBL378678_b.mol2,CHEMBL383096_b.mol2	1.74	1.93	-2.49	10
O97467	mid	6M2L_B.pdb	CHEMBL106525_b.mol2,CHEMBL50588_b.mol2,CHEMBL528186_b.mol2,CHEMBL530649_b.mol2,CHEMBL533283_b.mol2,CHEMBL537153_b.mol2,CHEMBL547607_b.mol2,CHEMBL580149_b.mol2,CHEMBL585622_b.mol2,CHEMBL588318_b.mol2	2.72	-1.38	-2.68	10
P00630	top	1POC_A.pdb	CHEMBL109073_b.mol2,CHEMBL4452147_b.mol2,CHEMBL463914_b.mol2,CHEMBL470339_b.mol2,CHEMBL477692_b.mol2,CHEMBL480681_b.mol2,CHEMBL480874_b.mol2,CHEMBL487005_b.mol2,CHEMBL513747_b.mol2	-1.67	-1.52	-6.31	9
P04066	bottom	7PM4_C.pdb	CHEMBL205277_b.mol2,CHEMBL2442773_b.mol2,CHEMBL2442775_b.mol2,CHEMBL2442776_b.mol2,CHEMBL2442783_b.mol2,CHEMBL2442784_b.mol2,CHEMBL314581_b.mol2,CHEMBL314757_b.mol2,CHEMBL316609_b.mol2,CHEMBL75265_b.mol2	-1.48	-3.52	-11.04	10
P05231	top	1ALU_A.pdb	CHEMBL131_b.mol2,CHEMBL2391027_b.mol2,CHEMBL4080826_b.mol2,CHEMBL5268975_b.mol2,CHEMBL5282465_b.mol2	-10.43	-2.12	-16.56	5
