target_id	AA_minus_AI	II_minus_IA	AVE_bias	tercile
B2RXC2	-0.6664	0.0770	-0.5894	bottom
O00429	-0.6378	0.0607	-0.5771	bottom
O09114	-0.4238	0.0988	-0.3251	top
O14672	-0.0869	0.0573	-0.0296	top
O14939	-0.4742	0.0718	-0.4025	top
O14980	-0.6555	0.0990	-0.5566	bottom
O15229	-0.5770	0.1020	-0.4750	bottom
O15244	-0.2927	0.0974	-0.1953	top
O15245	-0.2174	0.1083	-0.1091	top
O15554	-0.6146	0.0938	-0.5208	bottom
O35956	-0.4227	0.1017	-0.3210	top
O60603	-0.4817	0.1025	-0.3792	mid
O69002	-0.4520	0.1151	-0.3369	top
O75751	-0.3137	0.1076	-0.2061	top
O95822	-0.5794	0.0812	-0.4982	bottom
O97467	-0.5034	0.0791	-0.4244	mid
P00630	-0.2311	0.0886	-0.1425	top
P04066	-0.5915	0.0801	-0.5114	bottom
P05231	-0.4700	0.0895	-0.3805	top
P07237	-0.5228	0.0934	-0.4294	mid
P08679	-0.4858	0.1218	-0.3641	mid
P08686	-0.5350	0.0789	-0.4561	mid
P09936	-0.4763	0.0743	-0.4019	top
P10599	-0.5933	0.1022	-0.4911	bottom
P11166	-0.5169	0.0736	-0.4433	mid
P11274	-0.0176	0.0613	0.0437	top
P13807	-0.6242	0.0636	-0.5606	bottom
P14672	-0.5683	0.0648	-0.5036	bottom
P16473	-0.6609	0.0566	-0.6043	bottom
P17405	-0.4938	0.1028	-0.3910	mid
P18440	-0.5036	0.0928	-0.4108	mid
P18858	-0.4500	0.0954	-0.3546	top
P21549	-0.5265	0.1219	-0.4046	mid
P21980	-0.5855	0.0838	-0.5017	bottom
P22888	-0.5471	0.0551	-0.4920	mid
P25021	-0.1999	0.0648	-0.1351	top
P25929	-0.5354	0.0572	-0.4782	mid
P27695	-0.5384	0.1118	-0.4266	mid
P28065	-0.2800	0.0598	-0.2202	top
P29401	-0.5048	0.1027	-0.4022	mid
P30122	-0.5725	0.0984	-0.4741	bottom
P31213	-0.5123	0.0988	-0.4134	mid
P32249	-0.5231	0.0831	-0.4400	mid
P33905	-0.2358	0.0937	-0.1421	top
P34969	-0.2201	0.0638	-0.1563	top
P35414	-0.6340	0.0447	-0.5893	bottom
P35869	-0.4992	0.1001	-0.3991	mid
P40763	-0.5343	0.0905	-0.4438	mid
P42356	-0.0834	0.1018	0.0184	top
P43088	-0.2062	0.0547	-0.1515	top
P47898	-0.2471	0.0663	-0.1808	top
P49019	-0.6062	0.0772	-0.5290	bottom
P49789	-0.5243	0.0822	-0.4421	mid
P50406	-0.3712	0.0498	-0.3214	top
P53985	-0.5590	0.0519	-0.5071	bottom
P54289	-0.5951	0.0786	-0.5165	bottom
P54292	-0.3580	0.1381	-0.2199	top
P56192	-0.5433	0.0764	-0.4669	mid
P56726	-0.5704	0.0697	-0.5007	bottom
P59540	-0.5717	0.1421	-0.4296	bottom
P78348	-0.5733	0.0713	-0.5020	bottom
P96618	-0.6033	0.0659	-0.5374	bottom
P9WQ77	-0.5513	0.1019	-0.4494	mid
Q07794	-0.5331	0.0731	-0.4599	mid
Q10469	-0.6555	0.0770	-0.5785	bottom
Q13191	-0.6576	0.0644	-0.5931	bottom
Q13418	-0.6158	0.1246	-0.4912	bottom
Q14973	-0.3540	0.0843	-0.2697	top
Q15717	-0.5162	0.0639	-0.4524	mid
Q15831	0.0000	0.0897	0.0897	top
Q5JUK3	-0.5843	0.0748	-0.5095	bottom
Q5NUL3	-0.5891	0.0424	-0.5467	bottom
Q6DWJ6	-0.6091	0.0275	-0.5816	bottom
Q6N021	-0.5740	0.0864	-0.4876	bottom
Q70CQ3	-0.5683	0.0990	-0.4693	bottom
Q86UE8	-0.0750	0.0693	-0.0057	top
Q8BHY3	-0.4822	0.0742	-0.4080	mid
Q8G2R2	-0.4890	0.1094	-0.3796	mid
Q8IAS0	-0.4000	0.0669	-0.3331	top
Q8NBP7	-0.6443	0.0475	-0.5967	bottom
Q8NG68	-0.7100	0.1077	-0.6023	bottom
Q8NI60	-0.0536	0.1106	0.0569	top
Q8TDX7	-0.0377	0.0850	0.0473	top
Q923Y8	-0.6089	0.0474	-0.5615	bottom
Q96KB5	-0.2093	0.0516	-0.1577	top
Q96LA9	-0.5232	0.0339	-0.4893	mid
Q96Q83	-0.5415	0.0738	-0.4678	mid
Q96RG2	-0.0290	0.1249	0.0959	top
Q96RJ0	-0.5341	0.0381	-0.4960	mid
Q9BQB6	-0.5980	0.0623	-0.5357	bottom
Q9BQF6	-0.5094	0.0877	-0.4217	mid
Q9BRS2	0.0000	0.0645	0.0645	top
Q9C000	-0.4980	0.0940	-0.4040	mid
Q9H2X6	-0.0487	0.1048	0.0561	top
Q9H3N8	-0.4812	0.0341	-0.4470	mid
Q9H422	-0.0197	0.0962	0.0765	top
Q9HC97	-0.5301	0.0615	-0.4686	mid
Q9HCN6	-0.1740	0.0339	-0.1401	top
Q9NQS5	-0.5327	0.0201	-0.5126	mid
Q9NXG6	-0.5622	0.0443	-0.5179	bottom
Q9UKK3	-0.0364	0.0475	0.0111	top
Q9Y251	-0.5525	0.0110	-0.5415	bottom
Q9Y271	-0.5253	0.0241	-0.5012	mid
Q9Y5N1	-0.4987	0.0371	-0.4615	mid
Q9Y616	-0.0277	0.0801	0.0524	top
Q9Y6K0	-0.6200	0.0000	-0.6200	bottom
Q9Y6L6	-0.5028	0.0484	-0.4544	mid
