target_id	center_x	center_y	center_z
aa2ar	-9.191	-7.160	56.032
abl1	15.832	14.454	3.864
ace	45.208	45.624	45.380
aces	4.143	68.029	65.017
ada	50.317	56.228	20.073
ada17	44.163	29.007	2.644
adrb1	26.415	4.927	0.852
adrb2	2.255	5.023	51.827
akt1	6.220	3.017	17.448
akt2	22.418	-19.452	8.469
aldr	16.611	-7.032	14.448
ampc	81.116	5.232	31.734
andr	26.824	2.261	4.718
aofb	52.595	153.860	25.640
bace1	24.410	12.031	22.288
braf	84.003	6.623	-7.498
cah2	-5.677	0.951	16.727
casp3	35.217	35.951	33.225
cdk2	2.605	26.318	8.586
comt	-4.049	-12.081	-17.687
cp2c9	8.604	32.953	-1.640
cp3a4	36.833	-15.239	29.997
csf1r	6.690	31.014	9.496
cxcr4	20.398	-7.805	70.634
def	-36.809	25.623	67.653
dhi1	54.324	23.443	39.170
dpp4	-18.053	-5.614	60.290
drd3	8.478	21.580	23.906
dyr	15.177	5.862	-0.882
egfr	16.789	34.526	91.292
esr1	31.636	-1.818	24.429
esr2	95.129	20.795	-3.879
fa10	1.753	-8.875	-12.805
fa7	10.667	41.887	31.684
fabp4	4.421	7.613	17.548
fak1	10.177	3.093	6.211
fkb1a	-34.710	38.165	32.369
fnta	16.787	-23.879	3.920
fpps	14.988	33.142	-8.230
gcr	40.002	29.960	9.384
glcm	36.114	31.975	0.792
gria2	7.250	32.429	-0.247
grik1	39.718	5.793	6.962
hdac2	66.492	29.581	1.391
hdac8	-25.973	30.024	-40.921
hivint	10.047	-27.025	-10.003
hivpr	20.209	-2.784	17.925
hivrt	9.489	12.308	17.283
hmdh	-14.988	7.551	45.242
hs90a	3.338	11.840	24.482
hxk4	-9.690	3.001	20.577
igf1r	5.703	-6.299	21.511
inha	9.261	32.531	60.536
ital	-10.435	2.265	26.627
jak2	114.391	66.165	10.694
kit	34.084	-3.270	-28.185
kith	-9.718	5.077	35.363
kpcb	39.291	55.466	34.323
lck	25.502	39.391	84.565
lkha4	10.239	40.099	68.205
mapk2	37.693	5.753	17.200
mcr	18.928	72.552	20.356
met	-0.838	3.872	29.026
mk01	-14.006	13.502	41.544
mk10	47.940	7.566	31.315
mk14	-2.743	-0.984	24.737
mmp13	-4.875	27.388	54.865
mp2k1	-1.469	58.272	32.946
nos1	0.958	0.320	59.204
nram	31.364	-9.455	63.497
pa2ga	-39.902	63.921	34.075
parp1	26.921	11.846	27.696
pde5a	1.440	67.015	83.530
pgh1	20.186	49.384	10.990
pgh2	30.801	-22.631	-16.008
plk1	-0.089	23.365	68.097
pnph	14.839	11.451	58.196
ppara	13.217	39.565	27.568
ppard	15.777	2.763	37.443
pparg	3.829	25.008	17.171
prgr	-3.058	-8.351	24.058
ptn1	46.045	14.348	2.568
pur2	74.746	22.836	31.243
pygm	39.938	36.836	29.482
pyrd	51.253	43.700	-2.416
reni	-7.449	-15.106	-9.893
rock1	52.319	102.065	30.437
rxra	61.504	46.058	31.120
sahh	46.507	-19.900	102.649
src	1.926	5.508	7.770
tgfr1	15.197	66.700	5.348
thb	13.675	23.982	46.452
thrb	17.027	-12.323	21.283
try1	24.243	20.643	27.715
tryb1	25.137	76.940	83.472
tysy	14.928	13.518	34.382
urok	22.209	17.964	34.987
vgfr2	38.136	35.561	12.140
wee1	4.492	53.895	23.057
xiap	9.123	12.257	-21.963
